chapter,word,frequency
0,catcher,1
0,rye,1
0,j,1
0,salinger,1
0,mother,1
1,get,21
1,know,13
1,like,13
1,around,13
1,pencey,13
1,spencer,11
1,say,10
1,see,10
1,come,9
1,game,9
1,go,8
1,place,8
1,way,8
1,old,8
1,back,8
1,mr,8
1,want,7
1,tell,7
1,even,7
1,school,7
1,anyway,7
1,guy,7
1,probably,6
1,anything,6
1,pretty,6
1,quite,6
1,leave,6
1,right,6
1,could,6
1,hear,5
1,stuff,5
1,two,5
1,whole,5
1,one,5
1,look,5
1,team,5
1,sort,5
1,good,5
1,really,4
1,thing,4
1,kind,4
1,especially,4
1,hell,4
1,goddam,4
1,run,4
1,home,4
1,next,4
1,damn,4
1,never,4
1,start,4
1,horse,4
1,time,4
1,hall,4
1,hill,4
1,girl,4
1,felt,4
1,keep,4
1,parent,3
1,feel,3
1,would,3
1,nice,3
1,last,3
1,christmas,3
1,b,3
1,practically,3
1,near,3
1,use,3
1,goldfish,3
1,always,3
1,boy,3
1,think,3
1,many,3
1,football,3
1,saxon,3
1,suppose,3
1,big,3
1,something,3
1,remember,3
1,stand,3
1,crazy,3
1,side,3
1,hardly,3
1,least,3
1,give,3
1,fencing,3
1,academic,3
1,coat,3
1,crook,3
1,much,3
1,house,3
1,open,3
1,door,3
1,holden,3
1,dear,3
1,first,2
1,truth,2
1,second,2
1,touchy,2
1,father,2
1,also,2
1,take,2
1,mean,2
1,hollywood,2
1,every,2
1,week,2
1,drive,2
1,maybe,2
1,little,2
1,four,2
1,thousand,2
1,lot,2
1,dough,2
1,write,2
1,terrific,2
1,secret,2
1,kid,2
1,let,2
1,anybody,2
1,hate,2
1,prep,2
1,agerstown,2
1,show,2
1,ever,2
1,splendid,2
1,clear,2
1,deal,2
1,year,2
1,afternoon,2
1,top,2
1,thomsen,2
1,cannon,2
1,bring,2
1,nose,2
1,thurmer,2
1,though,2
1,reason,2
1,instead,2
1,new,2
1,york,2
1,meet,2
1,teacher,2
1,grippe,2
1,till,2
1,vacation,2
1,kick,2
1,apply,2
1,ax,2
1,frequently,2
1,cold,2
1,glove,2
1,somebody,2
1,hair,2
1,room,2
1,full,2
1,hang,2
1,bad,2
1,make,2
1,tichener,2
1,chuck,2
1,building,2
1,dinner,2
1,ball,2
1,darker,2
1,finally,2
1,soon,2
1,live,2
1,breath,2
1,cut,2
1,across,2
1,road,2
1,fast,2
1,frozen,2
1,c,2
1,mon,2
1,ask,2
1,closet,2
1,fine,2
1,1,1
1,bear,1
1,lousy,1
1,childhood,1
1,occupy,1
1,david,1
1,copperfield,1
1,crap,1
1,bore,1
1,hemorrhage,1
1,apiece,1
1,personal,1
1,besides,1
1,autobiography,1
1,madman,1
1,happen,1
1,easy,1
1,brother,1
1,far,1
1,crumby,1
1,visit,1
1,end,1
1,month,1
1,jaguar,1
1,english,1
1,job,1
1,hundred,1
1,mile,1
1,hour,1
1,cost,1
1,buck,1
1,regular,1
1,writer,1
1,book,1
1,short,1
1,story,1
1,case,1
1,best,1
1,buy,1
1,money,1
1,kill,1
1,prostitute,1
1,movie,1
1,mention,1
1,telling,1
1,day,1
1,pennsylvania,1
1,heard,1
1,ad,1
1,advertise,1
1,magazine,1
1,hotshot,1
1,jumping,1
1,fence,1
1,play,1
1,polo,1
1,saw,1
1,anywhere,1
1,underneath,1
1,picture,1
1,since,1
1,1888,1
1,mold,1
1,young,1
1,men,1
1,strictly,1
1,bird,1
1,molding,1
1,thinking,1
1,saturday,1
1,commit,1
1,suicide,1
1,win,1
1,three,1
1,clock,1
1,revolutionary,1
1,war,1
1,field,1
1,bash,1
1,grandstand,1
1,hot,1
1,yelling,1
1,deep,1
1,except,1
1,scrawny,1
1,faggy,1
1,visiting,1
1,people,1
1,senior,1
1,allow,1
1,terrible,1
1,matter,1
1,somewhere,1
1,scratch,1
1,arm,1
1,blow,1
1,giggle,1
1,selma,1
1,headmaster,1
1,daughter,1
1,often,1
1,exactly,1
1,type,1
1,mad,1
1,desire,1
1,sit,1
1,bus,1
1,struck,1
1,conversation,1
1,nail,1
